id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
2ZXBCSAOQEeJCeXR2V8Ilt,The Breeze and Beatrice,spotify:track:2ZXBCSAOQEeJCeXR2V8Ilt,0.0385,0.648,120000,0.763,0.000343,7,0.515,-4.329,1,0.416,160.119,4,0.568,focus
17fNUCojPpa42bNlE2ijZ1,For a Sec,spotify:track:17fNUCojPpa42bNlE2ijZ1,0.069,0.641,74355,0.629,0.987,8,0.104,-8.301,1,0.0876,184.284,4,0.962,focus
4eDDp8icaTotfTUUzcXPEe,Rearview,spotify:track:4eDDp8icaTotfTUUzcXPEe,0.329,0.749,97959,0.772,0.461,5,0.147,-8.031,1,0.158,98.012,4,0.526,focus
1w3p3jzMjFwkOuF6mROcRB,The Sun,spotify:track:1w3p3jzMjFwkOuF6mROcRB,0.0525,0.741,130435,0.559,0.77,1,0.0822,-12.421,1,0.36,92.064,4,0.894,focus
0Ml3j4XDT93zC4oGUoeu0J,Voyage,spotify:track:0Ml3j4XDT93zC4oGUoeu0J,0.148,0.746,64500,0.491,0.946,7,0.126,-9.119,1,0.149,89.493,4,0.574,focus
5CaziGT0mi3HzOiXQhZ6Gf,Eva,spotify:track:5CaziGT0mi3HzOiXQhZ6Gf,0.148,0.654,88000,0.398,0.86,4,0.167,-12.139,0,0.258,90.223,4,0.638,focus
7wSTlCZvwLHTVRba459DTU,Celery,spotify:track:7wSTlCZvwLHTVRba459DTU,0.877,0.761,51337,0.201,0.192,8,0.112,-9.775,0,0.0537,93.404,4,0.96,focus
3cHOgGp6i89wgBemCHOHr4,Wonderful,spotify:track:3cHOgGp6i89wgBemCHOHr4,0.0027,0.562,180021,0.773,0.247,1,0.109,-6.36,1,0.0774,170.221,4,0.87,focus
2S9iC8UBhqq1of7PFHEvTr,flow on,spotify:track:2S9iC8UBhqq1of7PFHEvTr,0.724,0.663,228812,0.535,0.929,6,0.113,-10.587,0,0.371,91.343,4,0.599,focus
4oavlkg3Y5NM3nySdb63mj,Go Move,spotify:track:4oavlkg3Y5NM3nySdb63mj,0.101,0.683,134000,0.523,0.859,1,0.12,-8.798,1,0.0609,90.011,4,0.788,focus
5Nu5Uyoauauy9LFePYL1Z3,Late Night,spotify:track:5Nu5Uyoauauy9LFePYL1Z3,0.0358,0.612,228155,0.628,0.00898,2,0.193,-6.754,1,0.0752,125.043,4,0.434,party
721boqcO9Pn5gdbTbvYeVR,Night Time - Digitalism Nineties Time Remix,spotify:track:721boqcO9Pn5gdbTbvYeVR,0.0036,0.684,275847,0.994,0.9,2,0.305,-6.641,1,0.0676,125.0,4,0.284,party
3fDgxdcf0jeJgGiZJGUmyK,Ya Kidding,spotify:track:3fDgxdcf0jeJgGiZJGUmyK,0.00177,0.813,238080,0.983,0.546,1,0.502,-5.515,1,0.153,125.007,4,0.77,party
6Fvcfc6yiU97h2ir2B9cR5,The Deep End - Supermini Remix,spotify:track:6Fvcfc6yiU97h2ir2B9cR5,0.000804,0.624,245000,0.876,0.0434,6,0.415,-6.948,1,0.0369,121.986,4,0.273,party
